id,page_url,page_title,faq_key,q_number,question_text,answer_text,answer_html,links,row_hash,first_seen_at,last_seen_at,changed_at,vectorized
11,https://www.sec.gov/about/crypto-task-force/crypto-task-force-frequently-asked-questions,SEC.gov | Crypto Task Force Frequently Asked Questions,76d2ca893c2d8b43,1,"Q1: I sent an email to crypto@sec.gov to request a meeting, but I haven’t heard from the Crypto Task Force. Will a meeting be scheduled?","To help manage the great influx of meeting requests, we have created a Meeting Request Form. We ask that you submit your meeting request through the form.","<p>To help manage the great influx of meeting requests, we have created a Meeting Request Form. We ask that you submit your <a href=""https://www.sec.gov/about/crypto-task-force/meeting-request#no-back"">meeting request</a> through the form.&nbsp;</p>","{""href"":""https://www.sec.gov/about/crypto-task-force/meeting-request#no-back"",""text"":""meeting request""}",d69b04fc886f930c,2025-09-23 16:11:13.817589+00,2025-10-03 14:30:36.317958+00,,False
12,https://www.sec.gov/about/crypto-task-force/crypto-task-force-frequently-asked-questions,SEC.gov | Crypto Task Force Frequently Asked Questions,c16a82e4c8f33e56,2,"Q2: I submitted a meeting request via the web form, but I haven’t heard from the Crypto Task Force. Will a meeting be scheduled?","We are trying to accommodate as many meeting requests as possible. Due to the high demand of meeting requests, the Crypto Task Force is not able to meet with every party requesting a meeting. If you did not submit a detailed agenda, please submit a new meeting request including an agenda which summarizes what you would like to discuss at the meeting. This agenda will be posted to our meeting log on the Commission’s website. If you have supplemental materials that you would like the Crypto Task Force to consider, you will be able to submit those on that form as well. We look forward to receiving your revised meeting request. For those who are not able to meet with us, we welcome written input.","<p>We are trying to accommodate as many meeting requests as possible. Due to the high demand of meeting requests, the Crypto Task Force is not able to meet with every party requesting a meeting. If you did not submit a detailed agenda, please submit a new meeting request including an agenda which summarizes what you would like to discuss at the meeting. This agenda will be posted to our meeting log on the Commission’s website. If you have supplemental materials that you would like the Crypto Task Force to consider, you will be able to submit those on that form as well. We look forward to receiving your revised meeting request. For those who are not able to meet with us, we welcome <a href=""https://www.sec.gov/about/crypto-task-force/submit-written-input#no-back"">written input</a>. &nbsp;</p>","{""href"":""https://www.sec.gov/about/crypto-task-force/submit-written-input#no-back"",""text"":""written input""}",50a38ac612c79398,2025-09-23 16:11:13.817589+00,2025-10-03 14:30:36.317958+00,,False
13,https://www.sec.gov/about/crypto-task-force/crypto-task-force-frequently-asked-questions,SEC.gov | Crypto Task Force Frequently Asked Questions,cc2bda1d1d24ee00,3,"Q3: I sent an email to crypto@sec.gov with written input, but my written input has not been posted. Will it be posted?","To help manage the great influx of written input, we ask that you please resubmit your written input using the web form. Please make sure that your substantive comments are included via an attachment to be uploaded at this link.","<p>To help manage the great influx of written input, we ask that you please resubmit your <a href=""https://www.sec.gov/about/crypto-task-force/submit-written-input#no-back"">written input</a> using the web form. Please make sure that your substantive comments are included via an attachment to be uploaded at this link.</p>","{""href"":""https://www.sec.gov/about/crypto-task-force/submit-written-input#no-back"",""text"":""written input""}",d116f48620a4708f,2025-09-23 16:11:13.817589+00,2025-10-03 14:30:36.317958+00,,False
14,https://www.sec.gov/about/crypto-task-force/crypto-task-force-frequently-asked-questions,SEC.gov | Crypto Task Force Frequently Asked Questions,e3742292ec19da7c,4,"Q4: I submitted written input via the web form, but I haven’t seen it posted. Will it be posted?",The Crypto Task Force is reviewing each submitted written input and reserves the right to post or not post depending on the nature of the content.,<p>The Crypto Task Force is reviewing each submitted written input and reserves the right to post or not post depending on the nature of the content.</p>,,5cdbcb061c2abe69,2025-09-23 16:11:13.817589+00,2025-10-03 14:30:36.317958+00,,False
15,https://www.sec.gov/about/crypto-task-force/crypto-task-force-frequently-asked-questions,SEC.gov | Crypto Task Force Frequently Asked Questions,cf80a60ffa8c9175,5,Q5: I offered my subject matter expertise to the Crypto Task Force through an email to crypto@sec.gov. When can I expect to meet with the Crypto Task Force?,"If there is a specific conversation you would like to have with the Crypto Task Force, we welcome you to submit a meeting request through our meeting request form. If you also included a written submission and would like it be posted on the Crypto Task Force website, please use the written input webform. Thank you.","<p>If there is a specific conversation you would like to have with the Crypto Task Force, we welcome you to submit a meeting request through our <a href=""https://www.sec.gov/about/crypto-task-force/meeting-request#no-back"">meeting request form</a>. If you also included a written submission and would like it be posted on the Crypto Task Force website, please use the <a href=""https://www.sec.gov/about/crypto-task-force/submit-written-input#no-back"">written input webform</a>. Thank you.</p>","{""href"":""https://www.sec.gov/about/crypto-task-force/meeting-request#no-back"",""text"":""meeting request form""}",edcd88671a1d3c1a,2025-09-23 16:11:13.817589+00,2025-10-03 14:30:36.317958+00,,False
16,https://www.sec.gov/about/crypto-task-force/crypto-task-force-frequently-asked-questions,SEC.gov | Crypto Task Force Frequently Asked Questions,738e937a17cbbd40,6,"Q6: I sent a tip, complaint, or referral to crypto@sec.gov. When can I expect a response?","All tips, complaints, or referrals can be submitted using our online form. If you are a whistleblower and would like to submit information to the Commission, you may do so through the whistleblower program. If you have questions you’d like to discuss, you can contact the Office of Investor Education and Advocacy at 1-800-732-0330 or by email at help@sec.gov. All tips, complaints and referrals received by the SEC are reviewed by our Enforcement Division. During the evaluation process, the Office of Market Intelligence (“OMI”) staff examines each tip to identify those with high-quality information that warrant the additional allocation of SEC resources. When OMI determines a complaint warrants deeper investigation, OMI staff assigns the complaint to one of the SEC’s eleven regional offices, a specialty unit, or to an Enforcement group in the Home Office. Complaints that relate to an existing investigation are forwarded to the staff working on the matter. Tips that could benefit from the specific expertise of another Division or Office within the SEC generally are forwarded to staff in that Division or Office for further analysis. The SEC may use information from whistleblower tips and complaints in several different ways. For example, the SEC may initiate an enforcement investigation based on the whistleblower’s tip. A whistleblower tip may also prompt the SEC to commence an examination of a regulated entity or a review of securities filings, which may lead to an enforcement action. Even if the tip does not cause an investigation to be opened, it may still help lead to a successful enforcement action if the whistleblower provides additional, new information that significantly contributes to an ongoing or active investigation. The SEC conducts its investigations on a confidential basis as a matter of policy. The purpose of this policy is to protect the integrity of any investigation from premature disclosure and to protect the privacy of persons involved in our investigations. The SEC generally does not comment on whether it has opened an investigation in a particular matter or the status of its investigations. While this can be frustrating, it is necessary to protect the integrity of the investigative process.","<p>All tips, complaints, or referrals can be submitted using our <a data-entity-substitution=""canonical"" data-entity-type=""node"" data-entity-uuid=""2f8ef8ff-4ace-46fa-9919-79d7e2084522"" href=""https://www.sec.gov/enforcement-tips-and-complaints"" title=""Enforcement Tips and Complaints"">online form</a>. If you are a whistleblower and would like to submit information to the Commission, you may do so through the <a data-entity-substitution=""canonical"" data-entity-type=""node"" data-entity-uuid=""28b340c1-5357-416b-a037-3cdb73c8b8f7"" href=""https://www.sec.gov/enforcement-litigation/whistleblower-program"" title=""Whistleblower Program"">whistleblower program</a>. If you have questions you’d like to discuss, you can contact the Office of Investor Education and Advocacy at 1-800-732-0330 or by email at <a href=""mailto:help@sec.gov"">help@sec.gov</a>.</p>
<p>All tips, complaints and referrals received by the SEC are reviewed by our Enforcement Division. During the evaluation process, the Office of Market Intelligence (“OMI”) staff examines each tip to identify those with high-quality information that warrant the additional allocation of SEC resources. When OMI determines a complaint warrants deeper investigation, OMI staff assigns the complaint to one of the SEC’s eleven regional offices, a specialty unit, or to an Enforcement group in the Home Office. &nbsp;Complaints that relate to an existing investigation are forwarded to the staff working on the matter. Tips that could benefit from the specific expertise of another Division or Office within the SEC generally are forwarded to staff in that Division or Office for further analysis.</p>
<p>The SEC may use information from whistleblower tips and complaints in several different ways. For example, the SEC may initiate an enforcement investigation based on the whistleblower’s tip. A whistleblower tip may also prompt the SEC to commence an examination of a regulated entity or a review of securities filings, which may lead to an enforcement action. Even if the tip does not cause an investigation to be opened, it may still help lead to a successful enforcement action if the whistleblower provides additional, new information that significantly contributes to an ongoing or active investigation.</p>
<p>The SEC conducts its investigations on a confidential basis as a matter of policy. The purpose of this policy is to protect the integrity of any investigation from premature disclosure and to protect the privacy of persons involved in our investigations. The SEC generally does not comment on whether it has opened an investigation in a particular matter or the status of its investigations. While this can be frustrating, it is necessary to protect the integrity of the investigative process.</p>","{""href"":""https://www.sec.gov/enforcement-tips-and-complaints"",""text"":""online form""}",0fef31d59a61ba08,2025-09-23 16:11:13.817589+00,2025-10-03 14:30:36.317958+00,,False
17,https://www.sec.gov/about/crypto-task-force/crypto-task-force-frequently-asked-questions,SEC.gov | Crypto Task Force Frequently Asked Questions,13545f918584c481,7,Q7: I emailed crypto@sec.gov seeking legal advice or guidance. When can I expect to see a response?,"Unfortunately, the Crypto Task Force cannot provide specific legal advice or guidance. The Task Force does not discuss (and does not comment on) any active investigations or litigation. Please note that the Crypto Task Force will be working with divisions and offices across the Commission to provide general clarity on questions we receive on a recurring basis. Please follow us on our website for up-to-date information on the work of the Crypto Task Force.","<p>Unfortunately, the Crypto Task Force cannot provide specific legal advice or guidance. The Task Force does not discuss (and does not comment on) any active investigations or litigation. Please note that the Crypto Task Force will be working with divisions and offices across the Commission to provide general clarity on questions we receive on a recurring basis. Please follow us on our website for up-to-date information on the work of the Crypto Task Force.&nbsp;</p>",,f682f5e5d42cba0f,2025-09-23 16:11:13.817589+00,2025-10-03 14:30:36.317958+00,,False
18,https://www.sec.gov/about/crypto-task-force/crypto-task-force-frequently-asked-questions,SEC.gov | Crypto Task Force Frequently Asked Questions,87746c8ebd83ed84,8,"Q8: I emailed crypto@sec.gov to get added to Crypto Task Force updates, but I haven’t seen anything. What do I need to do?","To sign up for news about the task force, please subscribe at Crypto Task Force.","<p>To sign up for news about the task force, please subscribe at <a data-entity-substitution=""canonical"" data-entity-type=""node"" data-entity-uuid=""f47cc660-23d7-40a8-9c6e-99474ee031fa"" href=""https://www.sec.gov/about/crypto-task-force"" title=""Crypto Task Force"">Crypto Task Force</a>.&nbsp;</p>","{""href"":""https://www.sec.gov/about/crypto-task-force"",""text"":""Crypto Task Force""}",e1190aacb8ab08ef,2025-09-23 16:11:13.817589+00,2025-10-03 14:30:36.317958+00,,False
19,https://www.sec.gov/about/crypto-task-force/crypto-task-force-frequently-asked-questions,SEC.gov | Crypto Task Force Frequently Asked Questions,b7af2b7e760a38f9,9,"Q9: I am a member of the press who has emailed crypto@sec.gov with press inquiries directed at the Crypto Task Force or Commissioner Hester Peirce, but I have not gotten a response. What should I do?",Please direct your press inquiry to news@sec.gov.,"<p>Please direct your press inquiry to <a href=""mailto:news@sec.gov"">news@sec.gov</a>.</p>","{""href"":""mailto:news@sec.gov"",""text"":""news@sec.gov""}",cd0f93c2db888fe1,2025-09-23 16:11:13.817589+00,2025-10-03 14:30:36.317958+00,,False
21,https://www.sec.gov/about/crypto-task-force/crypto-task-force-frequently-asked-questions,SEC.gov | Crypto Task Force Frequently Asked Questions,412968a8001cdb8e,11,Q11: I emailed crypto@sec.gov because I would like to be a panelist for a roundtable. Will I be told if I am not selected?,"We will not be replying to individual inquiries, but all requests for participation will be considered.","<p>We will not be replying to individual inquiries, but all requests for participation will be considered.</p>
</div>
      

            </div>
      
      </div>
</div>
          </div>
  
                            

  <div  class=""date-modified usa-prose"">
    <p>",,83d5a8cad119a180,2025-09-23 16:11:13.817589+00,2025-10-03 14:30:36.317958+00,,False
